filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + Abiraterone acetate + Prednisone),intervention,1.0,3.0,7.0,10.0,13.0,17.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1; Cycle 7+: Day 1 every 4 weeks.,,
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + Abiraterone acetate + Prednisone),control,1.0,3.0,7.0,10.0,13.0,17.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1; Cycle 7+: Day 1 every 4 weeks.,,
PIMD 27718847 a_Summary_SoE.pdf,Arm 1: Pembrolizumab (MK-3475),intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,One visit every 3 weeks (Day 1 of each 21-day cycle) for IV infusion.,,
PIMD 27718847 a_Summary_SoE.pdf,Arm 2: Standard of Care (SOC) Platinum-based Chemotherapy,control,1.0,4.0,9.0,15.0,19.0,24.0,21.0,Two visits per cycle (Days 1 and 8) for Gemcitabine regimens; followed by Observation visits every 3 weeks.,,
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),control,1.0,1.0,1.0,2.0,2.0,3.0,180.0,"Screening (Entry/BMD), Day 1 (Start), Month 6 (BMD), Month 12 (BMD)",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm B (Nolvadex plus zoledronate),intervention,1.0,1.0,1.0,2.0,2.0,3.0,180.0,"Screening (Entry/BMD), Day 1 (Infusion), Month 6 (Infusion/BMD), Month 12 (Infusion/BMD)",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),intervention,1.0,1.0,1.0,2.0,2.0,3.0,180.0,"Screening (Entry/BMD), Day 1 (Start), Month 6 (BMD), Month 12 (BMD)",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm D (Arimidex plus zoledronate),intervention,1.0,1.0,1.0,2.0,2.0,3.0,180.0,"Screening (Entry/BMD), Day 1 (Infusion), Month 6 (Infusion/BMD), Month 12 (Infusion/BMD)",,2009.0
PMID 20525992 a_Summary_SoE.pdf,Arm A (Melanoma Peptide Vaccine Monotherapy),control,1.0,2.0,5.0,8.0,10.0,11.0,21.0,"Day 1, 22, 43, 64 (Treatment Phase); Day 78, 106, 134, 162, 190, 246, 330 (Follow-up Phase)",,2010.0
PMID 20525992 a_Summary_SoE.pdf,Arm B (MDX-010 in Combination with Melanoma Peptide Vaccine),intervention,1.0,2.0,5.0,8.0,10.0,11.0,21.0,"Day 1, 22, 43, 64 (Treatment Phase); Day 78, 106, 134, 162, 190, 246, 330 (Follow-up Phase)",,2010.0
