filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 23358972_Summary_SoE.pdf,Arm A (FOLFIRI + sunitinib),intervention,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Subsequent cycles: Days 1, 15, 29.",
PMID 23358972_Summary_SoE.pdf,Arm B (FOLFIRI + placebo),control,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Subsequent cycles: Days 1, 15, 29.",
PMID 23940216 a_Summary_SoE.pdf,Arm A (Cediranib 30 mg monotherapy),intervention,1,5,8,10,12,15,42,"Weekly for the first 6 weeks (Days 1, 8, 15, 22, 29, 36, 43), then every 6 weeks thereafter (Days 85, 127, 169, 211, 253, 295, 337).",
PMID 23940216 a_Summary_SoE.pdf,Arm B (Cediranib 20 mg + Lomustine),intervention,1,5,9,13,17,23,42,"Weekly for the first 6 weeks, then every 3 weeks (alternating between start-of-cycle imaging/dispensing visits and mid-cycle CBC visits).",
PMID 23940216 a_Summary_SoE.pdf,Arm C (Placebo + Lomustine),control,1,5,9,13,17,23,42,"Weekly for the first 6 weeks, then every 3 weeks (alternating between start-of-cycle imaging/dispensing visits and mid-cycle CBC visits).",
PMID 27264120 a_Summary_SoE.pdf,Arm 1 (Letrozole),intervention,2,1,1,2,2,3,1,"Day 1 (randomization/dispensing), Month 6, Month 12",
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo),control,2,1,1,2,2,3,1,"Day 1 (randomization/dispensing), Month 6, Month 12",
PMID 27569442 CT_Summary_SoE.pdf,Arm A (MAP - Control),control,2,3,11,21,25,26,35,"Induction: Weeks 1, 6 (Days 1, 2); Weeks 4, 5, 9, 10 (Day 1). Post-Op: Weeks 12, 17, 22, 26 (Days 1, 2); Weeks 15, 16, 20, 21, 24, 25, 28, 29 (Day 1).",
PMID 27569442 CT_Summary_SoE.pdf,Arm B (MAP + Pegylated Interferon alfa-2b),intervention,2,3,11,21,35,48,35,Induction and Post-Op MAP same as Arm A. Maintenance: Weekly Pegylated Interferon alfa-2b from Week 30 to Week 104.,
PMID 27569442 CT_Summary_SoE.pdf,Arm C (MAP + Ifosfamide and Etoposide),intervention,2,3,11,27,40,43,28,"Induction same as Arm A. Post-Op: Doxo/Cis (W12, 20, 28, 36 - Days 1, 2); Ifos/Etop (W16, 24, 32 - Days 1-5); Ifos (W20, 36 - Days 1-3); MTX (W15, 19, 23, 27, 31, 35, 39, 40 - Day 1).",
PMID 30177994 a_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 30516102 a_Summary_SoE.pdf,Arm A (Trastuzumab emtansine),intervention,2,3,7,12,17,21,21,"Day 1 of each 21-day cycle for drug administration; Day 8 of Cycle 1 for optional biomarkers; Imaging (ECHO/MUGA) in the last week of Cycles 2, 6, 10, and 14.",
PMID 30516102 a_Summary_SoE.pdf,Arm B (Trastuzumab),control,2,3,7,12,17,21,21,"Day 1 of each 21-day cycle for drug administration; Day 8 of Cycle 1 for optional biomarkers; Imaging (ECHO/MUGA) in the last week of Cycles 2, 6, 10, and 14.",
PMID 31327689 CT_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenalidomide + Dexamethasone),intervention,1,4,8,14,20,28,28,"Day 1 of each 28-day cycle plus Pembrolizumab infusions every 3 weeks (Days 1, 22, 43, 64, etc.).",
PMID 31327689 CT_Summary_SoE.pdf,Arm B (Lenalidomide + Dexamethasone),control,1,3,5,8,11,15,28,Day 1 of each 28-day cycle.,
PMID 31821109 a_Summary_SoE.pdf,Arm 1 - Regimen A (TC: Docetaxel + Cyclophosphamide),control,2,2,5,7,7,8,21,Every 3 weeks for 6 cycles (TC).,
PMID 31821109 a_Summary_SoE.pdf,Arm 1 - Regimen B (AC -> WP: Doxorubicin + Cyclophosphamide followed by weekly Paclitaxel),control,2,2,5,16,17,18,21,AC every 3 weeks (4 cycles) followed by weekly Paclitaxel (12 doses).,
PMID 31821109 a_Summary_SoE.pdf,Arm 2 - Regimen A (TC + Trastuzumab),intervention,2,2,5,9,13,18,21,TC every 3 weeks (6 cycles) + Trastuzumab every 3 weeks for 1 year (17 doses total).,
PMID 31821109 a_Summary_SoE.pdf,Arm 2 - Regimen B (AC -> WP + Trastuzumab),intervention,2,2,5,16,21,25,21,"AC every 3 weeks (4 cycles), then weekly Paclitaxel + Trastuzumab (12 doses), then Trastuzumab every 3 weeks.",
PMID 34087126 b_Summary_SoE.pdf,DaraPomDex (Daratumumab plus Pomalidomide and Dexamethasone),intervention,1,5,11,17,20,24,28,"Cycles 1-2: Days 1, 8, 15, 22; Cycles 3-6: Days 1, 15; Cycles 7+: Day 1.",
PMID 34087126 b_Summary_SoE.pdf,PomDex (Pomalidomide and Dexamethasone),control,1,5,11,17,20,24,28,"Cycles 1-2: Days 1, 8, 15, 22; Cycles 3-6: Days 1, 15; Cycles 7+: Day 1.",
PMID 34110925 a_Summary_SoE.pdf,ACNS0331 Experimental Arms (All Randomizations),intervention,2,22,34,40,48,55,42,"Daily radiation (5 days/week) for 6 weeks; then 3 visits per maintenance cycle (Days 1, 8, 15 for Regimen A; Days 1, 2, 8 for Regimen B).",
PMID 34874182 CT_Summary_SoE.pdf,Arm A (Palbociclib + Endocrine Therapy),intervention,1,3,5,6,7,8,28,"C1D1, C1D14, C2D1, C2D14, then Day 1 of Cycles 3, 6, 9, 12, 15, 18, 21, 24.",
PMID 34874182 CT_Summary_SoE.pdf,Arm B (Endocrine Therapy alone),control,1,2,3,4,5,6,28,"Day 1 of Cycles 1, 2, 3, 6, 9, 12, 15, 18, 21, 24.",
PMID 35660812 a_Summary_SoE.pdf,Arm A (RVD + Lenalidomide Maintenance),intervention,2,9,17,36,41,44,21,"RVD Cycles 1-8: Days 1, 4, 8, 11. Maintenance: Day 1 of 28-day cycles.",
PMID 35660812 a_Summary_SoE.pdf,Arm B (RVD + PBSCT + RVD + Lenalidomide Maintenance),intervention,2,9,17,43,49,53,21,"RVD Cycles 1-3 & 4-5: Days 1, 4, 8, 11. PBSCT: Inpatient stay. Maintenance: Day 1 of 28-day cycles.",
