filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 23358972_Summary_SoE.pdf,Arm A (FOLFIRI + sunitinib),intervention,2,7,11,17,24,31,42,"FOLFIRI administered every 2 weeks (Days 1, 15, 29). Cycle 1 includes additional weekly hematology on Days 8 and 22.",
PMID 23358972_Summary_SoE.pdf,Arm B (FOLFIRI + placebo),control,2,7,11,17,24,31,42,"FOLFIRI administered every 2 weeks (Days 1, 15, 29). Cycle 1 includes additional weekly hematology on Days 8 and 22.",
PMID 23940216 a_Summary_SoE.pdf,Cediranib 30 mg monotherapy,intervention,1,5,8,10,12,14,42,"Weekly for the first 6 weeks (W0-W6), then every 6 weeks (Visit 10).",
PMID 23940216 a_Summary_SoE.pdf,Cediranib 20 mg + Lomustine,intervention,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (W0-W6), then every 3 weeks (alternating Visit 9 and Visit 10).",
PMID 23940216 a_Summary_SoE.pdf,Cediranib matched placebo + Lomustine,control,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (W0-W6), then every 3 weeks (alternating Visit 9 and Visit 10).",
PMID 27264120 a_Summary_SoE.pdf,Arm 1 (Letrozole),intervention,1,0,0,1,1,2,,"Screening, then clinic visits at 6 months and every 12 months thereafter.",
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo),control,1,0,0,1,1,2,,"Screening, then clinic visits at 6 months and every 12 months thereafter.",
PMID 27569442 CT_Summary_SoE.pdf,Arm A (Good Responders - MAP),control,2,8,23,43,52,54,35,"2 days treatment in weeks 1, 4, 5, 6, 9, 10 (Induction) and weeks 12, 15, 16, 17, 20, 21, 22, 24, 25, 26, 28, 29 (Post-Op). Plus twice-weekly labs in weeks 2, 7, 13, 18, 23, 27.",
PMID 27569442 CT_Summary_SoE.pdf,Arm B (Good Responders - MAPifn),intervention,2,8,23,43,60,74,35,"Same as MAP until week 29, then weekly injections of pegylated interferon alfa-2b until week 104.",
PMID 27569442 CT_Summary_SoE.pdf,Arm C (Poor Responders - MAP),control,2,8,23,43,52,54,35,Identical to Arm A.,
PMID 27569442 CT_Summary_SoE.pdf,Arm D (Poor Responders - MAPIE),intervention,2,8,23,42,60,65,28,"2-5 days treatment in weeks 1, 4, 5, 6, 9, 10 (Induction) and weeks 12, 15, 16, 19, 20, 23, 24, 27, 28, 31, 32, 35, 36, 39, 40 (Post-Op). Plus labs in weeks 2, 7, 13, 29.",
PMID 30177994 a_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 30516102 a_Summary_SoE.pdf,Arm A (Trastuzumab emtansine),intervention,2,3,7,12,17,21,21,"Day 1 of each 21-day cycle for drug administration; Day 8 of Cycle 1 for biomarker labs; Days 14-21 of Cycles 2, 6, 10, and 14 for ECHO/MUGA monitoring.",
PMID 30516102 a_Summary_SoE.pdf,Arm B (Trastuzumab),control,2,3,7,12,17,21,21,"Day 1 of each 21-day cycle for drug administration; Day 8 of Cycle 1 for biomarker labs; Days 14-21 of Cycles 2, 6, 10, and 14 for ECHO/MUGA monitoring.",
PMID 31327689 CT_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenalidomide + Dexamethasone),intervention,1,3,7,13,19,27,28,Arm A visits occur on Day 1 of every 28-day cycle plus additional visits for Pembrolizumab infusions every 21 days (Q3W).,
PMID 31327689 CT_Summary_SoE.pdf,Arm B (Lenalidomide + Dexamethasone),control,1,2,4,7,10,14,28,Arm B visits occur only on Day 1 of every 28-day cycle (per protocol note 'd').,
PMID 31821109 a_Summary_SoE.pdf,Arm 1 (Chemotherapy alone),control,2,2,5,16,17,18,21,AC regimen: 4 cycles every 3 weeks (4 days); followed by WP regimen: 12 weekly doses (12 days). Total 16 treatment days.,
PMID 31821109 a_Summary_SoE.pdf,Arm 2 (Chemotherapy plus Trastuzumab),intervention,2,2,5,16,20,25,21,AC regimen: 4 cycles every 3 weeks (4 days); followed by WP+H regimen: 12 weekly doses (12 days); followed by Trastuzumab alone every 3 weeks (9 doses within the first year).,
PMID 34087126 b_Summary_SoE.pdf,Arm A (DaraPomDex),intervention,1,6,13,19,22,26,28,"Cycles 1-2: weekly (Days 1, 8, 15, 22) plus PK on C1D4; Cycles 3-6: bi-weekly (Days 1, 15) plus PK on C3D4; Cycles 7+: monthly (Day 1).",
PMID 34087126 b_Summary_SoE.pdf,Arm B (PomDex),control,1,5,11,17,20,24,28,"Cycles 1-2: weekly (Days 1, 8, 15, 22); Cycles 3-6: bi-weekly (Days 1, 15); Cycles 7+: monthly (Day 1).",
PMID 34110925 a_Summary_SoE.pdf,Arm 1: Reduced-dose CSI (18 Gy),intervention,3,22,33,41,49,57,42,"Radiation: 5 days/week for 6 weeks. Maintenance: Regimen A (6 weeks) visits on D1, D8, D15; Regimen B (4 weeks) visits on D1, D2, D8.",
PMID 34110925 a_Summary_SoE.pdf,Arm 2: Standard-dose CSI (23.4 Gy),intervention,3,22,33,41,49,57,42,"Radiation: 5 days/week for 6 weeks. Maintenance: Regimen A (6 weeks) visits on D1, D8, D15; Regimen B (4 weeks) visits on D1, D2, D8.",
PMID 34874182 CT_Summary_SoE.pdf,Arm A (Palbociclib + Endocrine Therapy),intervention,1,3,5,6,7,8,28,"Day 1 and Day 14 for the first 2 cycles, then Day 1 of Cycles 3, 6, 9, 12, 15, 18, 21, 24.",
PMID 34874182 CT_Summary_SoE.pdf,Arm B (Standard Endocrine Therapy Alone),control,1,2,3,4,5,6,28,"Day 1 of Cycles 1, 2, 3, 6, 9, 12, 15, 18, 21, 24.",
PMID 35660812 a_Summary_SoE.pdf,Arm A (Conventional RVD),control,1,7,18,33,36,40,21,"Days 1, 4, 8, 11 for RVD cycles (Induction C1-3 and Consolidation C4-8); Day 1 for Maintenance cycles (28-day cycles).",
PMID 35660812 a_Summary_SoE.pdf,Arm B (RVD + PBSCT),intervention,1,7,15,20,27,30,21,"Days 1, 4, 8, 11 for RVD cycles; Specific days for PBSCT prep, collection, and reinfusion; Day 1 for Maintenance.",
PMID 35665782 CT_Summary_SoE.pdf,Trastuzumab deruxtecan (T-DXd),intervention,3,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15. Subsequent cycles: Day 1 only.",
PMID 35665782 CT_Summary_SoE.pdf,Treatment of Physician's Choice (TPC - Eribulin),control,3,5,10,19,27,37,21,"Cycle 1: Days 1, 8, 15. Subsequent cycles: Days 1 and 8 for infusions.",
PMID 35704479 a_Summary_SoE.pdf,Active Monitoring Arm,control,2,1,1,2,2,3,180,"Screening (Info Visit + Visit 0), Randomization (Visit 1), then every 6 months (Visit 2 at 6m, Visit 3 at 12m).",
PMID 35704479 a_Summary_SoE.pdf,Treatment Arm,intervention,2,2,4,5,5,6,180,"Screening (Info Visit + Visit 0), Randomization/Start (Visit 1), interim treatment visits (1A, 1B, 1C every 3 weeks), then every 6 months (Visit 2, Visit 3).",
