filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 23358972_Summary_SoE.pdf,Arm A (FOLFIRI + Sunitinib),intervention,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Cycle 2 onwards: Days 1, 15, 29.",
PMID 23358972_Summary_SoE.pdf,Arm B (FOLFIRI + Placebo),control,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Cycle 2 onwards: Days 1, 15, 29.",
PMID 23940216 a_Summary_SoE.pdf,Arm A (Cediranib 30 mg monotherapy),intervention,1,5,8,10,12,14,42,"Weekly for the first 6 weeks (BP/Safety), then every 6 weeks for drug dispensing and MRI (Visit 10).",
PMID 23940216 a_Summary_SoE.pdf,Arm B (Cediranib 20 mg + Lomustine),intervention,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (BP/CBC), then every 3 weeks for safety/labs (Visit 9) and every 6 weeks for Lomustine administration and MRI (Visit 10).",
PMID 23940216 a_Summary_SoE.pdf,Arm C (Placebo + Lomustine),control,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (BP/CBC), then every 3 weeks for safety/labs (Visit 9) and every 6 weeks for Lomustine administration and MRI (Visit 10).",
PMID 27264120 a_Summary_SoE.pdf,Arm 1 (Letrozole 2.5 mg daily),intervention,1,1,1,2,2,3,0,"Screening (Day -30 to 0), Day 1 (Randomization/Dispensing), Month 6, Month 12",
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo daily),control,1,1,1,2,2,3,0,"Screening (Day -30 to 0), Day 1 (Randomization/Dispensing), Month 6, Month 12",
PMID 27569442 CT_Summary_SoE.pdf,Arm A (MAP - Standard Therapy),control,2,10,31,63,70,71,35,"Induction: 5-week cycles. Post-op: 5-week cycles (C3-4), 4-week cycles (C5-6). Labs twice weekly after Doxo/Cis, weekly after MTX.",
PMID 27569442 CT_Summary_SoE.pdf,Arm B (MAP + Peg-IFN),intervention,2,10,31,63,78,92,35,Induction/Post-op MAP same as Arm A. Maintenance Peg-IFN administered weekly from Week 30 to Week 104.,
PMID 27569442 CT_Summary_SoE.pdf,Arm C (MAPIE),intervention,2,10,31,66,99,102,28,Induction same as Arm A. Post-op MAPIE uses 4-week cycles with 5-day Ifos/Etop blocks and intermittent MTX/Doxo/Cis.,
