filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 23358972_Summary_SoE.pdf,Arm A (FOLFIRI + Sunitinib),intervention,2,5,9,15,22,29,42,"Cycle 1: 5 visits (Days 1, 8, 15, 22, 29). Subsequent cycles: 3 visits (Days 1, 15, 29).",
PMID 23358972_Summary_SoE.pdf,Arm B (FOLFIRI + Placebo),control,2,5,9,15,22,29,42,"Cycle 1: 5 visits (Days 1, 8, 15, 22, 29). Subsequent cycles: 3 visits (Days 1, 15, 29).",
PMID 23940216 a_Summary_SoE.pdf,Arm A (Cediranib 30 mg monotherapy),intervention,1,5,8,10,12,14,42,"Weekly for the first 6 weeks (Days 1, 8, 15, 22, 29, 36, 43) for BP monitoring and baseline assessments, then every 6 weeks (Visit 10) for MRI and drug dispensing.",
PMID 23940216 a_Summary_SoE.pdf,Arm B (Cediranib 20 mg + Lomustine),intervention,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (Cycle 1), then every 3 weeks (Visit 9) for CBC/BP, with Lomustine administration every 6 weeks (Visit 10).",
PMID 23940216 a_Summary_SoE.pdf,Arm C (Placebo + Lomustine),control,1,5,9,13,17,22,42,"Weekly for the first 6 weeks (Cycle 1), then every 3 weeks (Visit 9) for CBC/BP, with Lomustine administration every 6 weeks (Visit 10).",
PMID 27264120 a_Summary_SoE.pdf,Arm 1 (Letrozole),intervention,1,1,1,2,2,3,0,"Screening, Day 1 (Randomization/Dispensing), Month 6, Month 12",
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo),control,1,1,1,2,2,3,0,"Screening, Day 1 (Randomization/Dispensing), Month 6, Month 12",
PMID 27569442 CT_Summary_SoE.pdf,MAP (Control),control,2,10,25,47,58,60,35,"Weeks 1, 6, 12, 17, 22, 26: 2 days of Doxo/Cis. Weeks 4, 5, 9, 10, 15, 16, 20, 21, 24, 25, 28, 29: 1 day of MTX + 1 day of Leucovorin/Labs. Weekly or twice-weekly labs throughout.",
PMID 27569442 CT_Summary_SoE.pdf,MAP + Pegylated Interferon alfa-2b (MAPifn),intervention,2,10,25,47,68,83,35,"Same as MAP for first 29 weeks. Starting Week 30, weekly subcutaneous injections of Peg-IFN.",
PMID 27569442 CT_Summary_SoE.pdf,MAP + Ifosfamide and Etoposide (MAPIE),intervention,2,10,25,56,84,94,28,"Induction same as MAP. Post-op cycles 4, 6, 8 include 5 consecutive days of Ifosfamide/Etoposide. Cycles 5 and 9 include 3 consecutive days of Doxo/Ifos.",
PMID 30177994 a_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 30516102 a_Summary_SoE.pdf,Arm A (Trastuzumab emtansine),intervention,2,3,6,10,14,18,21,"Day 1 of each 21-day cycle for treatment. Cycle 1 Day 8 for biomarker labs. ECHO/MUGA every 4 cycles (C2, C6, C10, C14) assumed combined with next cycle's Day 1 visit where possible. End of treatment visit 30 days after last dose. Survival follow-up every 3 months.",
PMID 30516102 a_Summary_SoE.pdf,Arm B (Trastuzumab),control,2,3,6,10,14,18,21,"Day 1 of each 21-day cycle for treatment. Cycle 1 Day 8 for biomarker labs. ECHO/MUGA every 4 cycles (C2, C6, C10, C14) assumed combined with next cycle's Day 1 visit where possible. End of treatment visit 30 days after last dose. Survival follow-up every 3 months.",
PMID 31327689 CT_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenalidomide + Dexamethasone),intervention,1,3,7,13,19,27,28,"2 visits per 28-day cycle. One visit on Day 1 of each cycle for labs and assessments, and one visit for Pembrolizumab infusion every 21 days (Q3W).",
PMID 31327689 CT_Summary_SoE.pdf,Arm B (Lenalidomide + Dexamethasone),control,1,2,4,7,10,14,28,"1 visit per 28-day cycle on Day 1 for labs, assessments, and drug dispensing.",
PMID 31821109 a_Summary_SoE.pdf,Arm 1 (Chemotherapy alone - AC -> WP regimen),control,2,2,5,16,17,18,21,AC every 3 weeks (4 cycles) followed by weekly Paclitaxel (12 doses),
PMID 31821109 a_Summary_SoE.pdf,Arm 2 (Chemotherapy plus Trastuzumab - AC -> WP + H regimen),intervention,2,2,5,16,21,26,21,"AC every 3 weeks (4 cycles), then weekly Paclitaxel + Trastuzumab (12 doses), then Trastuzumab every 3 weeks",
